id,street_name,street_type,lamp_type,longitude,latitude,wattage
73,Bealey,Avenue,LED,147.284080190049,-42.8644769577679,18
74,Pottery,Road,LED,147.284757998649,-42.8726704298344,18
75,Pottery,Road,LED,147.285446313657,-42.8719535972512,18
76,Pottery,Road,LED,147.286145102696,-42.870618710504,18
77,Lumeah,Avenue,CFL,147.276521629413,-42.8631310965877,42
78,Copley,Road,LED,147.287462757688,-42.8734864924745,18
79,Rosehill,Crescent,MV,147.287184276737,-42.8697207039608,80
80,Jubilee,Road,CFL,147.278275440119,-42.8969928207233,42
81,Hillborough,Road,CFL,147.295011832116,-42.896747614675,42
82,Brushy Creek,Road,LED,147.278779589591,-42.8701902824701,18
83,Shirley,Boulevard,LED,147.284263724898,-42.865612187046,18
84,Susan,Parade,LED,147.282671902852,-42.8676692718326,18
85,Bealey,Avenue,LED,147.283546029214,-42.8652441912539,18
86,Doyle,Avenue,MV,147.291363767914,-42.8667236659593,80
87,Wallace,Avenue,CFL,147.278305371542,-42.8627122067831,42
88,Marlyn,Road,MV,147.280566919142,-42.8980101067011,80
89,Saunders,Crescent,CFL,147.27784386251,-42.9002394574776,42
90,Lenah Valley,Road,HPS,147.286412752551,-42.8617117160627,150
91,Beaumont,Road,LED,147.280530585606,-42.8705228123379,18
92,Lenah Valley,Road,HPS,147.283980647137,-42.8620827679905,150
93,Lenah Valley,Road,LED,147.261642612708,-42.8724488998506,18
94,Strickland,Avenue,LED,147.273937083645,-42.9006100363374,18
95,Cascade,Road,HPS,147.29511304511,-42.8959218609902,150
96,Sharps,Road,CFL,147.282706059122,-42.8645223146273,42
97,Ruth,Drive,LED,147.284611580302,-42.869307859937,18
98,Firth,Road,LED,147.280395902975,-42.857455429461,18
99,Ruth,Drive,LED,147.283423321608,-42.8722856858814,18
100,Lenah Valley,Road,HPS,147.28259483073,-42.8629067056507,150
101,Jabez,Crescent,LED,147.293611591172,-42.8702754631975,18
102,Alwyn,Road,LED,147.283552148312,-42.8602683342007,18
103,Castlereagh,Court,LED,147.273853061396,-42.8567716791041,18
104,Cascade (nr Brewery),Road,HPS,147.292874173426,-42.8959409470448,250
105,Cascade (nr Brewery),Road,HPS,147.293728310245,-42.8956744188405,250
106,Marlyn,Road,LED,147.285037803083,-42.8969566697024,18
107,Rangeview,Crescent,CFL,147.280210637259,-42.8645433978017,42
108,Pottery,Road,LED,147.288345070405,-42.8666173371156,18
109,Lenah Valley,Road,HPS,147.2879769145,-42.8627176739157,150
110,Huon,Road,HPS,147.259989732516,-42.9215402898223,150
111,Lighton,Way,CFL,147.285538839088,-42.87324499432,42
112,Cuthbertson,Place,CFL,147.286853538729,-42.8721190823719,42
113,Rosehill,Crescent,LED,147.288893583896,-42.8690327312759,18
114,Copley,Road,CFL,147.286876833299,-42.8727023322415,42
115,Lenah Valley,Road,LED,147.274443084225,-42.8668440552925,18
116,Athleen,Avenue,LED,147.286435705737,-42.8627658280154,18
117,Augusta,Road,HPS,147.29043587599,-42.8631687518296,150
118,Augusta,Road,HPS,147.291960637831,-42.863608753994,150
119,Yaizu,Court,CFL,147.278968937735,-42.8639615269159,42
120,Sharps,Road,LED,147.282930167859,-42.8634441872068,18
