street_name,street_type,lamp_type,longitude,latitude,wattage
Lenah Valley,Road,HPS,147.279326183919,-42.8655139704361,250.0
Brushy Creek,Road,LED,147.279344569905,-42.8694802792952,18.0
Lenah Valley,Road,LED,147.282135622492,-42.8634270476165,18.0
Augusta,Road,LED,147.293425278362,-42.8643874980382,75.0
Cuthbertson,Place,CFL,147.288616473557,-42.8708044639919,42.0
Jeannette,Court,LED,147.281986765375,-42.865807059316,18.0
Jane,Court,CFL,147.284635655137,-42.8678888996341,42.0
Edge,Avenue,LED,147.291650838241,-42.8658477106527,18.0
Kalang,Avenue,LED,147.276587472763,-42.8622280031883,18.0
Athleen,Avenue,LED,147.285628146344,-42.8646347606538,18.0
Bealey,Avenue,LED,147.284624834497,-42.8638095643782,18.0
Creek,Road,HPS,147.290158567733,-42.8587193231576,150.0
Giblin,Street,LED,147.294123563938,-42.8704734361153,18.0
Bealey,Avenue,LED,147.284080190049,-42.8644769577679,18.0
Pottery,Road,LED,147.284757998649,-42.8726704298344,18.0
Pottery,Road,LED,147.285446313657,-42.8719535972512,18.0
Pottery,Road,LED,147.286145102696,-42.870618710504,18.0
Lumeah,Avenue,CFL,147.276521629413,-42.8631310965877,42.0
Copley,Road,LED,147.287462757688,-42.8734864924745,18.0
Rosehill,Crescent,MV,147.287184276737,-42.8697207039608,80.0
Jubilee,Road,CFL,147.278275440119,-42.8969928207233,42.0
Hillborough,Road,CFL,147.295011832116,-42.896747614675,42.0
Brushy Creek,Road,LED,147.278779589591,-42.8701902824701,18.0
Shirley,Boulevard,LED,147.284263724898,-42.865612187046,18.0
Susan,Parade,LED,147.282671902852,-42.8676692718326,18.0
Bealey,Avenue,LED,147.283546029214,-42.8652441912539,18.0
Doyle,Avenue,MV,147.291363767914,-42.8667236659593,80.0
Wallace,Avenue,CFL,147.278305371542,-42.8627122067831,42.0
Marlyn,Road,MV,147.280566919142,-42.8980101067011,80.0
Saunders,Crescent,CFL,147.27784386251,-42.9002394574776,42.0
Lenah Valley,Road,HPS,147.286412752551,-42.8617117160627,150.0
Beaumont,Road,LED,147.280530585606,-42.8705228123379,18.0
Lenah Valley,Road,HPS,147.283980647137,-42.8620827679905,150.0
Lenah Valley,Road,LED,147.261642612708,-42.8724488998506,18.0
Strickland,Avenue,LED,147.273937083645,-42.9006100363374,18.0
Cascade,Road,HPS,147.29511304511,-42.8959218609902,150.0
